,name,id,categories,lat,lng
1,Bistro du Midi,4b3cc11af964a520da8625e3,French Restaurant,42.352249,-71.069634
2,Ostra,5293ef69498e009610e3fdf1,Seafood Restaurant,42.351060,-71.066976
4,Maggiano's Little Italy,40b28c80f964a5200ff81ee3,Italian Restaurant,42.350966,-71.068695
14,Hermes,4ba42a98f964a520538838e3,Boutique,42.351849,-71.070525
15,Parish Cafe & Bar,3fd66200f964a52045ec1ee3,Sandwich Place,42.351746,-71.071525
17,Tatte Bakery & Cafe,5a609e9c26659b64aa76af3c,Bakery,42.351667,-71.071715
19,Shaking Crab,5a6d088e0a464d531abfaaa3,Seafood Restaurant,42.352291,-71.066204
21,Teatro,4a4b7a0df964a52067ac1fe3,Italian Restaurant,42.353026,-71.064371
23,Earl of Sandwich,4e04f68ab3ad8ad6f536c543,Sandwich Place,42.354304,-71.066424
24,Bacco's Fine Foods,51ae7268498ece55c2dbb9e6,Gourmet Shop,42.350750,-71.071220
26,Blaze Pizza,585ab814e309e16a0cdaab14,Pizza Place,42.351041,-71.065615
30,Boloco,4b1ef391f964a520f82124e3,Burrito Place,42.352330,-71.067054
42,W Lounge,4b50fd60f964a520343c27e3,Hotel Bar,42.350990,-71.065293
43,Mike & Patty's,4a3cf8bcf964a520b6a11fe3,Sandwich Place,42.348604,-71.067913
47,Au Bon Pain,4b8ec17bf964a520383533e3,Breakfast Spot,42.351699,-71.069089
49,Genki Ya,519abb90498ecd79e9066cd9,Sushi Restaurant,42.351106,-71.064821
51,Caffè Nero,53734d5e498ef0e9f93925f3,Coffee Shop,42.353521,-71.062348
52,Mooncusser Fish House,59867be32a7ab676698036b8,Seafood Restaurant,42.349889,-71.070633
53,Jaho Coffee Roaster & Wine Bar,55e0c3d7498ec10bc1501534,Coffee Shop,42.351720,-71.062820
54,Davio's,49e1f0c4f964a520e9611fe3,Steakhouse,42.350310,-71.070080
56,Q Restaurant,4c91546ab641236ab6a68079,Hotpot Restaurant,42.351707,-71.062715
57,Grill 23 & Bar,3fd66200f964a520eaeb1ee3,Steakhouse,42.349507,-71.072159
60,The Tam,46207467f964a52084451fe3,Dive Bar,42.351467,-71.064683
62,The Upper Crust Pizzeria,4a4916f5f964a520f5aa1fe3,Pizza Place,42.356652,-71.069723
63,Chanel Boutique,4bb2c3fd715eef3b9db585bb,Boutique,42.352320,-71.071604
66,Pho Pasteur,4a91e4f7f964a520421c20e3,Noodle House,42.351513,-71.062811
67,Cheers,41478600f964a520bd1c1fe3,Bar,42.355877,-71.071271
70,Boston Kitchen Pizza,4aee268ff964a52086d221e3,Pizza Place,42.350902,-71.063024
72,FiRE + iCE Boston,40b28c80f964a5200bf81ee3,American Restaurant,42.350578,-71.072644
73,by CHLOE.,5b60cae5b9ac38002cd42c3c,Vegetarian / Vegan Restaurant,42.351651,-71.072351
74,Sal's Pizza,4c2a2790ce3fc928e9da6f88,Pizza Place,42.354890,-71.063517
75,Mei Sum Bakery,4ab90e73f964a520dd7d20e3,Bakery,42.351472,-71.062115
77,Dumpling Cafe,4c7c06403badb1f7ea9f5654,Chinese Restaurant,42.351260,-71.062994
78,Legal Crossing,531e28ea11d2cfce53f540f9,Seafood Restaurant,42.353593,-71.062271
79,Starbucks,49bd4ba4f964a52064541fe3,Coffee Shop,42.356273,-71.069459
80,Starbucks,4a3be064f964a520dba01fe3,Coffee Shop,42.351426,-71.072976
83,Blu,4a9025aaf964a520391620e3,Restaurant,42.353267,-71.062918
84,Bin 26 Enoteca,453cb78ef964a520163c1fe3,Italian Restaurant,42.356747,-71.069792
87,Sip Wine Bar & Kitchen,4fcfd6c2e4b014bc8f359648,Restaurant,42.353329,-71.062556
88,Dunkin',5d0393c8c0cacb002c9daec9,Donut Shop,42.355184,-71.063144
89,Hampshire House,4abae13bf964a5203e8320e3,American Restaurant,42.355758,-71.071283
90,Paramount Cafe,4ba78332f964a520709939e3,Café,42.353765,-71.061955
