,venue.name,venue.id,venue.categories,venue.location.lat,venue.location.lng,
0,Four Seasons Hotel Boston,4aaa3040f964a5209d5520e3,Hotel,42.352468,-71.068752,
1,Bistro du Midi,4b3cc11af964a520da8625e3,French Restaurant,42.352249,-71.069634,
2,Ostra,5293ef69498e009610e3fdf1,Seafood Restaurant,42.351060,-71.066976,
3,Boston Public Garden,44cf0ff8f964a5201c361fe3,Garden,42.354096,-71.069865,
4,Maggiano's Little Italy,40b28c80f964a5200ff81ee3,Italian Restaurant,42.350966,-71.068695,
5,The Bristol Lounge,3fd66200f964a52060ec1ee3,Lounge,42.352500,-71.068244,
6,The Swan Boats,4bb75ca2ef159c74631277f7,Boat or Ferry,42.353961,-71.069586,
7,Commonwealth Park,4dff870752b1d747f679f834,Park,42.352752,-71.070626,
8,Cutler Majestic Theatre,4ace7819f964a520bfd020e3,Theater,42.351545,-71.064850,
9,Exhale,4ae0cff5f964a520c38221e3,Spa,42.351417,-71.070349,
10,Bliss Spa at W Boston,4c69afe5897b1b8d01e2af17,Spa,42.350995,-71.065432,
11,Shakespeare on the Common,4c5a025b67ac0f471bc4054c,Theater,42.354563,-71.065472,
12,Boston Commons - The Gazebo,4e725bf152b1aabf9618a0c2,Scenic Lookout,42.354107,-71.064822,
13,Hertz,4c5700317329c9280fd78d80,Rental Car Location,42.351347,-71.067999,
14,Hermes,4ba42a98f964a520538838e3,Boutique,42.351849,-71.070525,
15,Parish Cafe & Bar,3fd66200f964a52045ec1ee3,Sandwich Place,42.351746,-71.071525,
16,Boch Center,4a117b98f964a5201a771fe3,Theater,42.350346,-71.065025,
17,Tatte Bakery & Cafe,5a609e9c26659b64aa76af3c,Bakery,42.351667,-71.071715,
18,Charles Playhouse,4b6cf6d6f964a5207e602ce3,Performing Arts Venue,42.350017,-71.066037,
19,Shaking Crab,5a6d088e0a464d531abfaaa3,Seafood Restaurant,42.352291,-71.066204,
20,Edgar Allan Poe Statue,4ec7d0a702d5888e9c39d382,Outdoor Sculpture,42.352297,-71.067336,
21,Teatro,4a4b7a0df964a52067ac1fe3,Italian Restaurant,42.353026,-71.064371,
22,Paper Source - Boston,4ae348fcf964a520e09221e3,Arts & Crafts Store,42.351822,-71.071086,
23,Earl of Sandwich,4e04f68ab3ad8ad6f536c543,Sandwich Place,42.354304,-71.066424,
24,Bacco's Fine Foods,51ae7268498ece55c2dbb9e6,Gourmet Shop,42.350750,-71.071220,
25,Make Way For Ducklings,4bf28f8077b4c92860616a1c,Outdoor Sculpture,42.355569,-71.069764,
26,Blaze Pizza,585ab814e309e16a0cdaab14,Pizza Place,42.351041,-71.065615,
27,L.J. Peretti,4b524e18f964a5201b7627e3,Smoke Shop,42.352378,-71.067506,
28,Imperial Ballroom Boston Park Plaza Hotel,4c3ef96e1ef0d13aa5f99280,Event Space,42.350612,-71.069126,
29,Bacco Wine and Cheese,4d0d00cf95c1a1cd0bb1fffe,Wine Shop,42.350758,-71.071071,
30,Boloco,4b1ef391f964a520f82124e3,Burrito Place,42.352330,-71.067054,
31,W Boston,4aea58eef964a52026bb21e3,Hotel,42.350842,-71.065655,
32,Boston Common,4283ee00f964a520dd221fe3,Park,42.355487,-71.064882,
33,Boston Body Pilates,4b44c32cf964a52074fb25e3,Pilates Studio,42.352420,-71.071950,
34,Boston Park Plaza Hotel Lobby,51686103e4b07e5411242b05,Hotel,42.351181,-71.070134,
35,Equinox Sports Club Boston,5480aa56498e68458c021c2b,Gym / Fitness Center,42.353189,-71.063053,
36,Hostelling International Boston,509838b5e4b07ba8c809ffa3,Hostel,42.351084,-71.063398,
37,Taj Boston,4a6239d4f964a5206bc31fe3,Hotel,42.352836,-71.071625,
38,AMC Loews Boston Common 19,4a02465ef964a52045711fe3,Movie Theater,42.353308,-71.063974,
39,Cartier,4b993461f964a520976935e3,Jewelry Store,42.352123,-71.072468,
40,Btone Fitness,4ec019a7cc212562ad5582fb,Gym,42.352071,-71.072754,
41,James Joseph Salon,49ef2c4bf964a52086681fe3,Spa,42.352107,-71.072727,
42,W Lounge,4b50fd60f964a520343c27e3,Hotel Bar,42.350990,-71.065293,
43,Mike & Patty's,4a3cf8bcf964a520b6a11fe3,Sandwich Place,42.348604,-71.067913,
44,Bella Sante The SPA on Newbury,4ad4ea0cf964a520a8fc20e3,Spa,42.352040,-71.072853,
45,Revere Hotel Boston Common,4f8ebe8de4b0634d3741e9f9,Hotel,42.350725,-71.067191,
46,Frog Pond,4a549cd9f964a5202ab31fe3,Lake,42.356134,-71.065672,
47,Au Bon Pain,4b8ec17bf964a520383533e3,Breakfast Spot,42.351699,-71.069089,
48,Boston Opera House,454ac4c0f964a520a33c1fe3,Opera House,42.354014,-71.062602,
49,Genki Ya,519abb90498ecd79e9066cd9,Sushi Restaurant,42.351106,-71.064821,
